,Año,Trimestre,Provincia,Mbps (Media de bajada)
308,2019,2,Santa Fe,15
309,2019,2,Santiago Del Estero,7
310,2019,2,Tierra Del Fuego,6
311,2019,2,Tucumán,19
312,2019,1,Buenos Aires,20
313,2019,1,Capital Federal,25
314,2019,1,Catamarca,8
315,2019,1,Chaco,13
316,2019,1,Chubut,6
317,2019,1,Córdoba,16
318,2019,1,Corrientes,12
319,2019,1,Entre Ríos,11
320,2019,1,Formosa,10
321,2019,1,Jujuy,9
322,2019,1,La Pampa,5
323,2019,1,La Rioja,7
324,2019,1,Mendoza,6
325,2019,1,Misiones,13
326,2019,1,Neuquén,16
327,2019,1,Río Negro,10
328,2019,1,Salta,10
329,2019,1,San Juan,6
330,2019,1,San Luis,9
331,2019,1,Santa Cruz,6
332,2019,1,Santa Fe,13
333,2019,1,Santiago Del Estero,6
334,2019,1,Tierra Del Fuego,6
335,2019,1,Tucumán,17
336,2018,4,Buenos Aires,17
337,2018,4,Capital Federal,23
338,2018,4,Catamarca,8
339,2018,4,Chaco,13
340,2018,4,Chubut,6
341,2018,4,Córdoba,16
342,2018,4,Corrientes,12
343,2018,4,Entre Ríos,11
344,2018,4,Formosa,10
345,2018,4,Jujuy,9
346,2018,4,La Pampa,4
347,2018,4,La Rioja,7
348,2018,4,Mendoza,6
349,2018,4,Misiones,12
350,2018,4,Neuquén,16
351,2018,4,Río Negro,10
352,2018,4,Salta,10
353,2018,4,San Juan,6
354,2018,4,San Luis,9
355,2018,4,Santa Cruz,5
356,2018,4,Santa Fe,13
357,2018,4,Santiago Del Estero,6
358,2018,4,Tierra Del Fuego,7
359,2018,4,Tucumán,17
360,2018,3,Buenos Aires,17
361,2018,3,Capital Federal,22
362,2018,3,Catamarca,8
363,2018,3,Chaco,13
364,2018,3,Chubut,6
365,2018,3,Córdoba,15
366,2018,3,Corrientes,11
367,2018,3,Entre Ríos,11
368,2018,3,Formosa,9
369,2018,3,Jujuy,8
370,2018,3,La Pampa,4
371,2018,3,La Rioja,6
372,2018,3,Mendoza,6
373,2018,3,Misiones,12
374,2018,3,Neuquén,15
375,2018,3,Río Negro,10
376,2018,3,Salta,9
377,2018,3,San Juan,6
378,2018,3,San Luis,9
379,2018,3,Santa Cruz,5
380,2018,3,Santa Fe,12
381,2018,3,Santiago Del Estero,6
382,2018,3,Tierra Del Fuego,6
383,2018,3,Tucumán,15
384,2018,2,Buenos Aires,15
385,2018,2,Capital Federal,19
386,2018,2,Catamarca,8
387,2018,2,Chaco,12
388,2018,2,Chubut,5
389,2018,2,Córdoba,14
390,2018,2,Corrientes,11
391,2018,2,Entre Ríos,10
392,2018,2,Formosa,9
393,2018,2,Jujuy,6
394,2018,2,La Pampa,4
395,2018,2,La Rioja,6
396,2018,2,Mendoza,6
397,2018,2,Misiones,12
398,2018,2,Neuquén,13
399,2018,2,Río Negro,10
400,2018,2,Salta,9
401,2018,2,San Juan,6
402,2018,2,San Luis,6
403,2018,2,Santa Cruz,5
404,2018,2,Santa Fe,12
405,2018,2,Santiago Del Estero,6
406,2018,2,Tierra Del Fuego,6
407,2018,2,Tucumán,14
408,2018,1,Buenos Aires,14
409,2018,1,Capital Federal,18
410,2018,1,Catamarca,8
411,2018,1,Chaco,12
412,2018,1,Chubut,5
413,2018,1,Córdoba,13
414,2018,1,Corrientes,11
415,2018,1,Entre Ríos,10
416,2018,1,Formosa,11
417,2018,1,Jujuy,7
418,2018,1,La Pampa,4
419,2018,1,La Rioja,6
420,2018,1,Mendoza,6
421,2018,1,Misiones,12
422,2018,1,Neuquén,12
423,2018,1,Río Negro,9
