,Provincia,Poblacion
398,SANTA FE,4070
399,SANTA FE,4661
400,SANTA FE,62
401,SANTA FE,329
402,SANTA FE,502
403,SANTA FE,41
404,SANTA FE,5335
405,SANTIAGO DEL ESTERO,252192
406,SANTIAGO DEL ESTERO,219
407,SANTIAGO DEL ESTERO,201
408,SANTIAGO DEL ESTERO,166
409,SANTIAGO DEL ESTERO,1042
410,SANTIAGO DEL ESTERO,409
411,SANTIAGO DEL ESTERO,26649
412,SANTIAGO DEL ESTERO,1197
413,SANTIAGO DEL ESTERO,87
414,SANTIAGO DEL ESTERO,691
415,SANTIAGO DEL ESTERO,819
416,SANTIAGO DEL ESTERO,737
417,SANTIAGO DEL ESTERO,69
418,SANTIAGO DEL ESTERO,1729
419,SANTIAGO DEL ESTERO,161
420,TUCUMAN,22924
421,TUCUMAN,13
422,TUCUMAN,2375
423,TUCUMAN,2841
424,TUCUMAN,1241
425,TUCUMAN,18430
426,TUCUMAN,1205
427,TUCUMAN,6578
428,TUCUMAN,123
429,TUCUMAN,14791
430,TUCUMAN,1315
431,TUCUMAN,274
432,TUCUMAN,1061
433,TUCUMAN,668
434,TUCUMAN,1077
435,SANTA FE,1963
436,SANTA FE,141
437,SANTA FE,1646
438,SANTA FE,341
439,SANTA FE,554
440,SANTA FE,550
441,SANTA FE,27
442,SANTA FE,21624
443,SANTA FE,563
444,SANTA FE,360
445,SANTA FE,997
446,SANTA FE,2027
447,SANTA FE,587
448,SANTIAGO DEL ESTERO,12543
449,SANTIAGO DEL ESTERO,72
450,SANTIAGO DEL ESTERO,5273
451,SANTIAGO DEL ESTERO,38
452,SANTIAGO DEL ESTERO,137
453,SANTIAGO DEL ESTERO,964
454,SANTIAGO DEL ESTERO,251
455,SANTIAGO DEL ESTERO,85
456,SANTIAGO DEL ESTERO,104
457,SANTIAGO DEL ESTERO,243
458,SANTIAGO DEL ESTERO,1696
459,SANTIAGO DEL ESTERO,517
460,SANTIAGO DEL ESTERO,128
461,SANTIAGO DEL ESTERO,185
462,SANTIAGO DEL ESTERO,72
463,SANTIAGO DEL ESTERO,23286
464,SANTIAGO DEL ESTERO,371
465,LA PAMPA,56795
466,LA PAMPA,367
467,LA PAMPA,46
468,LA PAMPA,7878
469,LA PAMPA,154
470,LA PAMPA,357
471,LA PAMPA,2804
472,LA PAMPA,32
473,LA PAMPA,803
474,LA PAMPA,3714
475,LA PAMPA,120
476,LA PAMPA,546
477,LA PAMPA,2014
478,MENDOZA,13218
479,MENDOZA,0
480,MISIONES,3838
